Variable Name,Cohort/Measure in Featured Downloads Datafiles,Merged file Drawn From (MergedXXXX_YY_PP.csv),,
NPT43_OTHER,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT44_OTHER,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT45_OTHER,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT4_048_PUB,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT4_048_PRIV,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT4_048_PROG,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT4_048_OTHER,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT4_3075_PUB,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT4_3075_PRIV,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT4_75UP_PUB,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT4_75UP_PRIV,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT4_3075_PROG,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT4_3075_OTHER,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT4_75UP_PROG,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT4_75UP_OTHER,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NUM4_PUB,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM4_PRIV,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM4_PROG,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
NUM4_OTHER,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
NUM41_PUB,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM42_PUB,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM43_PUB,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM44_PUB,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM45_PUB,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM41_PRIV,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM42_PRIV,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM43_PRIV,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM44_PRIV,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM45_PRIV,"Fall 2015 or AY2015-16 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
NUM41_PROG,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
NUM42_PROG,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
NUM43_PROG,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
NUM44_PROG,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
NUM45_PROG,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
NUM41_OTHER,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
NUM42_OTHER,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
NUM43_OTHER,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
NUM44_OTHER,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
NUM45_OTHER,"Fall 2009 or AY2009-10 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
COSTT4_A,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
COSTT4_P,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
TUITIONFEE_IN,"AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
TUITIONFEE_OUT,"AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
TUITIONFEE_PROG,"AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
TUITFTE,"FY2016 (numerator) and AY2015-16 (denominator), reported in IPEDS DCY2016-17",2016_17,,
INEXPFTE,"FY2016 (numerator) and AY2015-16 (denominator), reported in IPEDS DCY2016-17",2016_17,,
AVGFACSAL,"AcadYr 2016-17 salaries of Fall 2016 faculty, reported in IPEDS DCY2016-17",2016_17,,
PFTFAC,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
PCTPELL,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
C150_4,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_L4,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_4_POOLED,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17 pooled with previous years (# of total pooled years found in POOLYRS)",2016_17,,
C150_L4_POOLED,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17 pooled with previous years (# of total pooled years found in POOLYRS)",2016_17,,
POOLYRS,Number of years of data pooled to calculate C150_4_POOLED or C150_L4_POOLED,2016_17,,
PFTFTUG1_EF,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
D150_4,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
D150_L4,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
D150_4_POOLED,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17 pooled with previous years (# of total pooled years found in POOLYRS)",2016_17,,
D150_L4_POOLED,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17 pooled with previous years (# of total pooled years found in POOLYRS)",2016_17,,
C150_4_WHITE,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_4_BLACK,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_4_HISP,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_4_ASIAN,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_4_AIAN,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_4_NHPI,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_4_2MOR,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_4_NRA,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_4_UNKN,"Fall 2010 or AcadYr 2010-11 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_4_WHITENH,"Fall 2004 or AcadYr 2004-05 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
C150_4_BLACKNH,"Fall 2004 or AcadYr 2004-05 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
C150_4_API,"Fall 2004 or AcadYr 2004-05 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
C150_4_AIANOLD,"Fall 2004 or AcadYr 2004-05 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
C150_4_HISPOLD,"Fall 2004 or AcadYr 2004-05 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
C150_L4_WHITE,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_L4_BLACK,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_L4_HISP,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_L4_ASIAN,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_L4_AIAN,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_L4_NHPI,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_L4_2MOR,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_L4_NRA,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_L4_UNKN,"Fall 2013 or AcadYr 2013-14 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C150_L4_WHITENH,"Fall 2007 or AcadYr 2007-08 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
C150_L4_BLACKNH,"Fall 2007 or AcadYr 2007-08 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
C150_L4_API,"Fall 2007 or AcadYr 2007-08 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
C150_L4_AIANOLD,"Fall 2007 or AcadYr 2007-08 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
C150_L4_HISPOLD,"Fall 2007 or AcadYr 2007-08 cohort (differs by institutional calendar), reported in IPEDS DCY2010-11",2010_11,,
C200_4,"Fall 2008 or AcadYr 2008-09 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
C200_L4,"Fall 2012 or AcadYr 2012-13 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
D200_4,"Fall 2008 or AcadYr 2008-09 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
D200_L4,"Fall 2012 or AcadYr 2012-13 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17",2016_17,,
RET_FT4,"Fall 2015 bachelor's-seeking cohort, reported in IPEDS DCY2016-17",2016_17,,
RET_FTL4,"Fall 2015 cohort, reported in IPEDS DCY2016-17",2016_17,,
RET_PT4,"Fall 2015 bachelor's-seeking cohort, reported in IPEDS DCY2016-17",2016_17,,
RET_PTL4,"Fall 2015 cohort, reported in IPEDS DCY2016-17",2016_17,,
C200_4_POOLED,"Fall 2008 or AcadYr 2008-09 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17 pooled with previous years (# of total pooled years found in POOLYRS200)",2016_17,,
C200_L4_POOLED,"Fall 2012 or AcadYr 2012-13 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17 pooled with previous years (# of total pooled years found in POOLYRS200)",2016_17,,
POOLYRS200,Number of years of data pooled to calculate C200_4_POOLED or C200_L4_POOLED,2016_17,,
D200_4_POOLED,"Fall 2008 or AcadYr 2008-09 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17 pooled with previous years (# of total pooled years found in POOLYRS200)",2016_17,,
D200_L4_POOLED,"Fall 2012 or AcadYr 2012-13 cohort (differs by institutional calendar), reported in IPEDS DCY2016-17 pooled with previous years (# of total pooled years found in POOLYRS200)",2016_17,,
PCTFLOAN,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
UG25ABV,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
CDR2,FSA FY2011 cohort measured in FY2012,2012_13,,
CDR3,FSA FY2014 cohort measured in FY2016,2016_17,,
DEATH_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
COMP_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
COMP_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
COMP_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
WDRAW_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
WDRAW_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
WDRAW_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
ENRL_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
ENRL_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
ENRL_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
UNKN_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
UNKN_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
UNKN_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_DEATH_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_COMP_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_COMP_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_COMP_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_WDRAW_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_WDRAW_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_WDRAW_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_ENRL_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_ENRL_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_ENRL_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_UNKN_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_UNKN_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LO_INC_UNKN_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_DEATH_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_COMP_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_COMP_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_COMP_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_WDRAW_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_WDRAW_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_WDRAW_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_ENRL_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_ENRL_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_ENRL_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_UNKN_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_UNKN_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MD_INC_UNKN_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_DEATH_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_COMP_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_COMP_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_COMP_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_WDRAW_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_WDRAW_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_WDRAW_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_ENRL_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_ENRL_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_ENRL_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_UNKN_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_UNKN_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
HI_INC_UNKN_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_DEATH_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_COMP_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_COMP_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_COMP_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_WDRAW_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_WDRAW_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_WDRAW_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_ENRL_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_ENRL_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_ENRL_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_UNKN_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_UNKN_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
DEP_UNKN_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_DEATH_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_COMP_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_COMP_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_COMP_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_WDRAW_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_WDRAW_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_WDRAW_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_ENRL_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_ENRL_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_ENRL_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_UNKN_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_UNKN_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
IND_UNKN_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_DEATH_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_COMP_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_COMP_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_COMP_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_WDRAW_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_WDRAW_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_WDRAW_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_ENRL_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_ENRL_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_ENRL_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_UNKN_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_UNKN_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
FEMALE_UNKN_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_DEATH_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_COMP_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_COMP_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_COMP_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_WDRAW_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_WDRAW_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_WDRAW_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_ENRL_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_ENRL_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_ENRL_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_UNKN_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_UNKN_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
MALE_UNKN_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_DEATH_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_COMP_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_COMP_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_COMP_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_WDRAW_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_WDRAW_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_WDRAW_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_ENRL_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_ENRL_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_ENRL_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_UNKN_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_UNKN_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
PELL_UNKN_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_DEATH_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_COMP_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_COMP_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_COMP_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_WDRAW_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_WDRAW_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_WDRAW_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_ENRL_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_ENRL_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_ENRL_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_UNKN_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_UNKN_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
NOPELL_UNKN_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LOAN_DEATH_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LOAN_COMP_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LOAN_COMP_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LOAN_COMP_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LOAN_WDRAW_ORIG_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LOAN_WDRAW_4YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
LOAN_WDRAW_2YR_TRANS_YR2_RT,NSLDS AY2013-14 cohort measured in AY2015-16,2015_16,,
